Constraining,ar6_chapter7,ar6_chapter7,ar6_chapter7,ar6_chapter7,mh_sampler,mh_sampler,mh_sampler,mh_sampler
Sampling,ar6,ar6_orig,mce-2l,s21,ar6,ar6_orig,mce-2l,s21
Sequence,,,,,,,,
0,2,7,11,7,7796,24312,9649,22342
1,13,11,15,12,10266,23899,34909,24905
2,16,15,22,13,12618,46289,17814,38955
3,22,16,37,15,25845,16155,45096,6674
4,24,24,38,16,17894,13573,30940,48938
5,35,35,42,17,2038,36715,2308,11263
6,43,37,48,24,19653,30712,24006,17510
7,47,50,57,26,29228,7568,8697,46662
8,52,54,67,35,1751,28343,4453,31965
9,55,70,69,37,24058,49142,48617,4693
10,62,72,82,38,29522,15859,21992,16017
11,64,74,85,52,30251,31262,4160,78
12,82,77,86,54,13419,4755,24373,3487
13,87,78,91,62,25576,36167,49287,37899
14,88,86,101,65,12804,21392,29876,42743
15,100,88,105,72,23905,365,5461,214
16,114,105,136,76,29116,9700,42283,33802
17,116,115,138,86,32351,13048,45409,49055
18,121,136,158,100,8414,17269,26129,33795
19,125,146,161,101,21657,27997,27908,43426
20,138,149,162,105,1539,23151,34957,38756
21,141,156,163,116,20186,7568,40456,47706
22,148,157,172,119,38757,40866,6482,17878
23,156,160,189,124,16002,45597,12899,33455
24,157,168,190,130,4288,31953,4584,39479
25,165,181,195,132,9437,9881,1156,25511
26,168,188,217,138,30968,22251,4078,2253
27,177,189,218,147,32532,15342,6123,8291
28,192,194,226,149,35449,10513,29797,28582
29,193,195,264,160,49271,37771,22576,8163
30,194,200,272,162,29072,3545,45589,32544
31,195,202,284,164,11243,21314,42300,35547
32,211,206,313,172,31125,48816,39555,31003
33,215,217,328,176,34570,48530,15116,35563
34,218,218,332,178,35760,15059,35448,35034
35,225,224,340,180,26942,45295,41018,12095
36,226,225,344,185,37401,45513,413,825
37,242,237,356,189,34616,46974,36583,36663
38,244,240,361,191,33455,45763,48769,17545
39,248,253,371,192,18389,23904,34328,31564
40,253,261,379,195,38292,45796,36374,5034
41,258,293,404,210,11803,13840,39906,2062
42,266,295,406,212,24105,34500,47408,5432
43,267,305,411,214,37174,34906,4857,9199
44,273,307,413,225,31109,17129,6482,44327
45,287,309,436,231,45085,18053,40579,40313
46,296,321,444,248,38097,33816,47838,28173
47,307,327,451,253,6084,16035,35741,6407
48,336,328,456,258,29428,38001,18342,30007
49,343,336,461,261,2794,34040,49376,33413
50,357,345,465,267,6603,12840,2763,22252
51,366,352,470,281,21628,41073,19233,15519
52,379,356,479,286,9899,43664,23675,49442
53,381,374,488,290,37504,33926,23907,17606
54,383,375,507,295,46201,4965,720,11294
55,385,379,510,297,1007,43987,10535,31196
56,392,395,511,302,8023,24344,32944,39451
57,399,396,519,307,23339,6660,36088,20019
58,401,408,525,319,14225,34461,42374,47706
59,404,413,532,329,33181,29577,6482,47175
60,413,428,538,334,48615,13379,16414,26862
61,417,434,539,336,430,42984,38250,13660
62,419,436,541,352,36403,22162,19396,38398
63,420,441,543,357,3296,8786,6403,22292
64,430,445,557,362,41675,2922,795,25128
65,432,448,559,369,26240,29747,338,39643
66,436,452,561,371,41802,19164,33283,7483
67,453,453,577,373,44657,32535,16027,2027
68,456,461,593,392,2294,26014,19416,47346
69,460,473,613,395,37786,24921,16639,40973
70,463,476,623,407,48389,24749,1602,6810
71,470,482,625,431,46909,9723,5776,4512
72,472,500,635,445,2381,8149,29461,3263
73,474,502,636,449,35329,33125,20095,13668
74,476,507,637,453,44183,34173,20361,6833
75,488,509,639,460,3988,32433,24045,39543
76,492,511,654,461,39807,9741,27371,3327
77,496,532,665,462,13442,12659,20406,16774
78,502,534,677,465,31582,2868,20307,20228
79,503,536,687,472,40469,28343,8166,14481
80,507,541,692,482,33630,31797,49820,6773
81,510,542,707,488,21931,13158,34722,35923
82,513,545,720,494,30183,17366,5618,18642
